Link Id, Link Type, Source Id, Source Row Type, Source Rows, Source Column Type, Source Columns, Destination Id, Destination Row Type, Destination Rows, Destination Column Type, Destination Columns
90,date,806,place,"USA,Canada,London,UK,Heathrow Airport,",date,"1 November, 2003,12 December, 2002,2002,10 August, 2001,1 May, 2003,",805,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,10 August, 2001,"
90,date,806,place,"USA,Canada,London,UK,Heathrow Airport,",date,"1 November, 2003,12 December, 2002,2002,10 August, 2001,1 May, 2003,",959,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Afghanistan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,"
90,date,806,place,"USA,Canada,London,UK,Heathrow Airport,",date,"1 November, 2003,12 December, 2002,2002,10 August, 2001,1 May, 2003,",946,place,"USA,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,2002,"
91,date,807,place,"USA,Newark,UK,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,2002,10 August, 2001,",805,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,10 August, 2001,"
91,date,807,place,"USA,Newark,UK,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,2002,10 August, 2001,",979,place,"USA,New Jersey,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,"
91,date,807,place,"USA,Newark,UK,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,2002,10 August, 2001,",806,place,"USA,Canada,London,UK,Heathrow Airport,",date,"1 November, 2003,12 December, 2002,2002,10 August, 2001,1 May, 2003,"
91,date,807,place,"USA,Newark,UK,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,2002,10 August, 2001,",981,place,"USA,New Jersey,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,1999,"
92,date,804,place,"USA,New York,Virginia,New Jersey,Columbia,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1991,",990,place,"USA,New York,Virginia,New Jersey,London,UK,Detroit,Michigan,Afghanistan,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,"
92,date,804,place,"USA,New York,Virginia,New Jersey,Columbia,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1991,",803,place,"USA,Cuba,New Jersey,Calamar,Columbia,224 Paulson Ave.,Clifton,",date,"2 January, 2004,1991,"
93,date,338,date,"2 January, 2003,2001,2002,12 January 2003,22 September 2002,July, 2000,",organization,"Al Qaeda,Farooq training camp,",848,place,"USA,Virginia,Laurel,",date,"1 November, 2003,1999,2001,2002,14 September, 2004,"
93,date,338,date,"2 January, 2003,2001,2002,12 January 2003,22 September 2002,July, 2000,",organization,"Al Qaeda,Farooq training camp,",852,place,"USA,New York,Virginia,New Jersey,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,2001,14 September, 2004,"
93,date,338,date,"2 January, 2003,2001,2002,12 January 2003,22 September 2002,July, 2000,",organization,"Al Qaeda,Farooq training camp,",853,place,"USA,New York,Virginia,Florida,New Jersey,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,14 September, 2004,"
93,date,338,date,"2 January, 2003,2001,2002,12 January 2003,22 September 2002,July, 2000,",organization,"Al Qaeda,Farooq training camp,",851,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,14 September, 2004,"
94,date,805,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,10 August, 2001,",959,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Afghanistan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,"
94,date,805,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,10 August, 2001,",807,place,"USA,Newark,UK,Detroit,Michigan,Laurel,",date,"1 November, 2003,1994,2002,10 August, 2001,"
94,date,805,place,"USA,Windsor,Ontario,Canada,Virginia,Newark,London,UK,Detroit,Michigan,Heathrow Airport,Laurel,Dulles International Airport,Dulles,Herndon,Roanoke,",date,"1 November, 2003,2002,10 August, 2001,",946,place,"USA,Newark,UK,Detroit,Michigan,Afghanistan,Laurel,",date,"1 November, 2003,1994,2002,"
95,date,339,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,Rutgers University,American University in Beirut,Western Union,",852,place,"USA,New York,Virginia,New Jersey,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,2001,14 September, 2004,"
95,date,339,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,Rutgers University,American University in Beirut,Western Union,",848,place,"USA,Virginia,Laurel,",date,"1 November, 2003,1999,2001,2002,14 September, 2004,"
95,date,339,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,Rutgers University,American University in Beirut,Western Union,",851,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,14 September, 2004,"
95,date,339,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,Rutgers University,American University in Beirut,Western Union,",853,place,"USA,New York,Virginia,Florida,New Jersey,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,14 September, 2004,"
95,date,339,date,"2 January, 2004,1990,1993,2001,3 November, 2003,27 November, 2003,1970,1965,",organization,"FBI,University of Missouri,Rutgers University,American University in Beirut,Western Union,",849,place,"USA,Laurel,",date,"1 November, 2003,1994,1999,2001,2002,14 September, 2004,"
96,date,941,place,"USA,Florida,Bahamas,Nassau,UK,Afghanistan,Saudi Arabia,Riyadh,",date,"1998,1994,1999,",850,place,"USA,Florida,New Jersey,2116 27th St.,Laurel,Maryland,",date,"1994,1999,2001,14 September, 2004,"
96,date,941,place,"USA,Florida,Bahamas,Nassau,UK,Afghanistan,Saudi Arabia,Riyadh,",date,"1998,1994,1999,",845,place,"USA,Florida,Bahamas,Nassau,London,UK,11 Apple St.,",date,"1998,1999,1 May, 2003,"
96,date,941,place,"USA,Florida,Bahamas,Nassau,UK,Afghanistan,Saudi Arabia,Riyadh,",date,"1998,1994,1999,",851,place,"USA,New Jersey,Laurel,",date,"1 November, 2003,1994,1999,2001,14 September, 2004,"
96,date,941,place,"USA,Florida,Bahamas,Nassau,UK,Afghanistan,Saudi Arabia,Riyadh,",date,"1998,1994,1999,",853,place,"USA,New York,Virginia,Florida,New Jersey,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,14 September, 2004,"
96,date,941,place,"USA,Florida,Bahamas,Nassau,UK,Afghanistan,Saudi Arabia,Riyadh,",date,"1998,1994,1999,",852,place,"USA,New York,Virginia,New Jersey,224 Paulson Ave.,Clifton,Laurel,",date,"1 November, 2003,1999,2001,14 September, 2004,"
97,date,802,place,"USA,Cuba,New Jersey,Havana,Columbia,Caribbean,",date,"1992,1991,",918,place,"USA,Windsor,Ontario,Canada,New Jersey,Newark,Detroit,Michigan,",date,"1 November, 2003,1992,1 July, 2003,"
97,date,802,place,"USA,Cuba,New Jersey,Havana,Columbia,Caribbean,",date,"1992,1991,",952,place,"USA,Windsor,Ontario,Canada,Detroit,Michigan,Russia,",date,"1997,1992,2002,"
98,date,942,place,"USA,Florida,Bahamas,Nassau,London,UK,Islamabad,Afghanistan,Saudi Arabia,Riyadh,Freeport,11 Apple St.,Chicago,Illinois,Baker St.,London Heathrow,Yemen,",date,"1998,1999,",845,place,"USA,Florida,Bahamas,Nassau,London,UK,11 Apple St.,",date,"1998,1999,1 May, 2003,"
98,date,942,place,"USA,Florida,Bahamas,Nassau,London,UK,Islamabad,Afghanistan,Saudi Arabia,Riyadh,Freeport,11 Apple St.,Chicago,Illinois,Baker St.,London Heathrow,Yemen,",date,"1998,1999,",853,place,"USA,New York,Virginia,Florida,New Jersey,455 11th St.,Miami Beach,224 Paulson Ave.,Clifton,2116 27th St.,Laurel,Maryland,1721 Glade Dr,Reston,1641 Pitkin Ave,Brooklyn,1621 Charles Ave.,Potomac,6132 Broward Blvd,Fort Lauderdale,CLifton,",date,"1999,2001,14 September, 2004,"
98,date,942,place,"USA,Florida,Bahamas,Nassau,London,UK,Islamabad,Afghanistan,Saudi Arabia,Riyadh,Freeport,11 Apple St.,Chicago,Illinois,Baker St.,London Heathrow,Yemen,",date,"1998,1999,",847,place,"USA,Florida,Bahamas,New Jersey,Nassau,London,UK,11 Apple St.,455 11th St.,Miami Beach,",date,"1999,1 May, 2003,"
