id,text
NSA_10,Intercepted phone call on 15 December%2C 2003 from a location in Paris%2C France to a location in Windsor%2C Ontario%2C Canada. The Paris call was from 174 Rue Cardinet; the call was received at 811 Tecumseh Rd. in Windsor. In a brief message the caller says in French; "Mother will meet you in Buffalo on the 28th and will have what you expected." The person receiving the call says: "At Ferry St. as usual?"  The caller says: "Yes."
CIA_29,The Itar-Tass news Agency reported that%2C on 15 April%2C 2004%2C cattle in the city of Blagoveshchensk were found to have foot and mouth disease. One thousand cattle have already been slaughtered. A state of emergency has been declared in six districts of the Amur region.
FBI_29,This special alert concerns assorted vulnerabilities of the SCADA systems. These Supervisory Control and Data Acquisition systems manage the actual flow of electricity and natural gas and perform other critical functions in a variety of other industries including chemical processing plants%2C water purification systems%2C delivery systems%2C and other manufacturing systems. SCADA is largely controlled and maintained by U.S. industries and crucial operations of SCADA are widely available on the Internet. Unauthorized access to SCADA is a constant source of concern. SCADA could be accessed from home computers and laptops. Of special interest are vulnerabilities associated with "trusted insiders."
CIA_28,Response to a request for information about Holland Orange Shipping Lines routes from Casablanca to destinations in the USA and surrounding areas. This shipping line has two freighters%2C Dutch Courage and Orange Queen%2C that regularly deliver cargo to Miami%2C FL.%2C Savannah%2C GA.%2C and Norfolk%2C VA.%2C in the USA. These ships also make deliveries to Santo Domingo%2C Dominican Republic%2C and to Caracas%2C Venezuela. The Orange Queen services ports in the USA and the Dutch Courage services ports in the Dominican Republic and Venezuela.
FBI_28,Information was requested of Belgian intelligence by the FBI on 1 September about Pieter Dopple%2C who lives at 22 Hoveniersstraat%2C Antwerp%2C Belgium. He sent the diamonds to Adnan Hijazi as noted in the USCBP report of 12 July%2C 2004. Belgian intelligence reports that Dopple has been under surveillance as a fence for diamonds obtained by groups%2C many of them associated with Islamic ventures%2C in various places in Africa. It appears that Dopple receives raw diamonds and other precious stones such as tanzanite and cuts and polishes them for distribution. Dopple receives a fee for his services but does not sell the stones himself. He sends them where his suppliers specify. At his interrogation%2C Dopple admitted that he was part of a scheme for transferring funds for militant Islamic groups and agreed to cooperate with investigators. He listed several persons in addition to Hijazi to whom he had sent polished diamonds and tanzanite. One person he named was Ramundo Ortiz%2C who runs a business in Panama City%2C Panama. He further said that he had just sent about $150%2C000 in polished diamonds to Ortiz on 25 September. Asked for the identity of the person(s) who had requested this transaction%2C he could only say that they were from Peshawar in Pakistan.
CIA_27,On 17 February%2C MI 6 requested information on a Malaysian named Ali Sufaat%2C who is reported to be working for the Caribbean Cargo Shipping Lines in Caracas%2C Venezuela. Our sources could only say that Sufaat has worked for Caribbean Cargo intermittently and is reported to have left Caracas for either Cuba or the Bahamas. It is known that Sufaat has traveled to both of these places during his work at Caribbean Cargo.
FBI_27,This report concerns continuing surveillance of the activities of Adnan Hijazi. During the period 20 August to 18 September%2C 2004 Hijazi made thirteen cash deposits to his personal account at the Jersey National Bank in Newark%2C NJ. These deposits totaled $47%2C980.
CIA_26,Surveillance continues on Omar Hanif in Nassau%2C The Bahamas. On 4 February%2C 2004 Hanif took a flight from Nassau to Miami%2C FL. where he boarded a flight to London%2C arriving on 5 February. He then took a connecting flight to Karachi%2C Pakistan%2C returning by the same route on 7 February. While in Karachi%2C Hanif stayed at a residence at 631 Nishtar Rd. This house is now under surveillance by Pakistani Intelligence.
FBI_26,This report concerns results of an FBI interview of the two men apprehended in Carrizo Springs%2C TX on 3 August%2C 2004 [See USCBP Report for 11 August%2C 2004]. Both men spoke perfect English and were very cordial. But they refused to answer any questions and asked to be represented by an attorney. They were fingerprinted and held in custody. Further examination of documents in their possession when they were apprehended revealed a letter%2C written in Arabic%2C from a person named Abdul Nasser. This letter was addressed to a person named Ali al-Omari. This letter simply said: "Go forth with Allah's blessing. You have been my best student." Investigation of these two men continues.
CIA_25,A check on the activities of Ramundo Ortiz reveals that on 27 January%2C 2004 he sent a wire transfer of $150%2C000 in Cuban pesos from the Canal Bank in Panama City to the Peoples Bank in Havana%2C Cuba. This transfer was to an account held by Jose Escalante at the Peoples Bank.
FBI_25,The FBI informant who attends meetings of God's Aryan Militia [GAM] in Texas reports having recorded a conversation between Khalid Shamrani [see FBI Report: 20 November%2C 2003] and three other men%2C two of whom the informant identified as Billy Jack Hawkins and Slade Goodman%2C both of whom are members of GAM. The third person our informant could only identify as a Middle Easterner named "Hafs" or "Halfs". This was the name given him by Shamrani. The gist of this conversation%2C which took place at the Westerner Motel on Almeda-Genoa Rd. in Houston%2C was that actions involving destructive activities in the Houston area and elsewhere would be placed on hold for at least several months. They discussed the apprehension of a militia member named Walter Smith and another person named al Quso in Kansas City. The fear they expressed was that their actions were being compromised.
CIA_24,Surveillance of Omar Hanif reveals that he traveled from  Nassau%2C The Bahamas to Cairo%2C Egypt on 20 December%2C 2003 and returned on 25 December%2C 2003. While in Cairo he was photographed coming out of a shop at 411 Ramses St. in Cairo. He was in the company of two other men. Provided with this photo%2C we were able to identify one of the two men as Saeed Hasham.
FBI_24,More information is available about the overseas trips taken by Adnan Hijazi. In Madrid%2C between 2 - 5 December%2C 2003%2C he stayed at the Catalan Hotel and attended a three-day textiles convention. In Cairo%2C between 22 - 24 December%2C 2003%2C he stayed at the Luxor Hotel. During his stay in Cairo at this time he made regular visits to a jewelry shop at 411 Ramses St. in Cairo. In Paris%2C France%2C between 13 - 18 January%2C 2004 he stayed at the Hotel de St. Marie and attended daily meetings at the Paris offices of Overseas Exports Inc.
CIA_23,Response to a query regarding the person at 65 Avenue San Martin in Santo Domingo [see NSA report 1 November%2C 2003]. Resident at this address is listed as Carlos Morales. Morales works as a taxi driver for the AutoFleet taxi company in Santo Domingo. Records reveal that Morales applied for Dominican Republic citizenship in 2000%2C which was granted in February of 2001. His birth certificate shows that he was born in Buenos Aires%2C Argentina on 4 March%2C 1970. A source who took several rides in a taxi driven by Morales says that he overheard Morales speaking in fluent Arabic to someone he had called using the phone in his cab.
FBI_23,The bail bond company BailOut in Charlotte NC forfeited the $10%2C000 bail bond it guaranteed for Rifai Qasim [alias Omar Blakely] in connection with the theft charge against him [see FBI Report 25 October%2C 2003]. When this bail bond company's investigators failed to locate Qasim/Blakely after four weeks%2C they turned the matter over to the FBI. Qasim and his associate Muhammed Mustafa closed their joint bank account at the Carolina First Bank on 23 October%2C 2003 and fled in a 1997 Toyota Tercel%2C NC license # TQE-732. A 1997 Toyota Tercel bearing this license number was found abandoned in River Rouge Park in Detroit%2C MI on 15 December%2C 2003. Overlooked in the initial examination of this vehicle by Detroit police%2C but later found by FBI investigators%2C was a slip of paper with a phone number on it. The phone number is listed in the name Abdul al Nami%2C who resides at 562 Fenkell Ave. in Detroit%2C MI. Acting on information obtained in DIA Report 5 March%2C 2004%2C a court-sanctioned tap was placed on this phone. On 15 May%2C 2004 a call was placed from this phone to a residence at 237 Hayes Ave in Detroit. The caller said: "Rifai%2C we are all together now. We will let you know when the match will be played. It might take some time to get the right field." The person receiving the call says: "I hope it will not be too long%2C my side is really ready to play." Investigators went to the residence at 237 Hayes Ave. on 20 May%2C 2004 and found it to be unoccupied. Neighbors said that the two Middle Eastern men who had occupied this residence briefly had moved out just a few days earlier. The owner of this residence%2C a Mr. Howard Clark%2C said he had evicted the two men because they failed to pay their rent for two months. Clark did not know where they went.
CIA_22,Query regarding persons from Pakistan registering at Casablanca hotels between 19 - 24 October%2C 2003. At Moroccan Oasis Hotel: Ali Talib [Karachi]%2C 20 - 24 October; Abu Adil [Karachi]%2C 21 - 22 October; Omar al Banna [Peshawar]%2C 21 - 25 October; Nadia Mahfouz [Peshawar]%2C 22 - 24 October; Ali Mishal [Islamabad]%2C 19 - 24 October. At Sahara Atlantic Hotel: Abdel Noufal [Peshawar]%2C 22 - 23 October; Ahmad Miner [Karachi]%2C 19 -21 October; Yasir Salman [Karachi]%2C 20 - 23 October; Jamat Syeed [Hyderabad]%2C 20 - 23 October. At Moroccan Sands Hotel: Shukri Azzam [Hyderabad]; Nidal Awad [Peshawar]%2C22 - 23 October.
