Link Id, Link Type, Source Id, Source Row Type, Source Rows, Source Column Type, Source Columns, Destination Id, Destination Row Type, Destination Rows, Destination Column Type, Destination Columns
595,date,1,date,"10 April, 2003,13 April, 2003,",document,"fbi5,fbi4,",88,date,"22 April, 2003,10 April, 2003,",location,"Richmond,Virginia,Denver,Colorado,Camp George West Military Reservation,"
593,date,2,date,"22 April, 2003,20 April, 2003,",document,"fbi18,cia6,",53,date,"27 April, 2003,22 April, 2003,January 1996,1996,",location,"The Netherlands,Afghanistan,"
593,date,2,date,"27 April, 2003,22 April, 2003,January 1996,1996,",location,"The Netherlands,Afghanistan,",139,date,"27 April, 2003,22 April, 2003,20 April, 2003,March, 1993,1990 - 1992,1987 - 1993,",organization,"CIA,Taliban,"
593,date,2,date,"27 April, 2003,22 April, 2003,20 April, 2003,March, 1993,1990 - 1992,1987 - 1993,",organization,"CIA,Taliban,",94,date,"20 April, 2003,April 18, 2003,2 December, 2001,I2 December, 20011,",location,"Queens,New York City,Myrtle Ave,Manhattan,"
742,document,2,date,"20 April, 2003,April 18, 2003,2 December, 2001,I2 December, 20011,",location,"Queens,New York City,Myrtle Ave,Manhattan,",18,document,"fbi4,fbi18,cia3,",location,"Denver,Colorado,"
742,document,2,document,"fbi4,fbi18,cia3,",location,"Denver,Colorado,",5,document,"cia6,cia4,cia11,",location,"US,Afghanistan,"
741,document,3,document,"fbi2,cia4,",location,"Virginia,US,",20,document,"fbi17,cia4,",location,"Richmond,Virginia,Capitol Ave.,"
741,document,3,document,"fbi17,cia4,",location,"Richmond,Virginia,Capitol Ave.,",9,document,"se3,fbi20,fbi17,cia4,",location,"Richmond,Virginia,"
741,document,3,document,"se3,fbi20,fbi17,cia4,",location,"Richmond,Virginia,",26,document,"cia7,cia4,cia10,",organization,"CIA,Al Qaeda,"
783,location,3,document,"cia7,cia4,cia10,",organization,"CIA,Al Qaeda,",287,person,"Bagwant Dhaliwal,Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,"
783,location,3,person,"Bagwant Dhaliwal,Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,",247,location,"Virginia,Springfield,",organization,"FBI,Passport Agency,First Union Bank,Virginia National Bank,Select Gourmet Foods,First Union National Bank,Pyramid Bank of Cairo,Central Bank of Dubai,"
783,location,3,location,"Virginia,Springfield,",organization,"FBI,Passport Agency,First Union Bank,Virginia National Bank,Select Gourmet Foods,First Union National Bank,Pyramid Bank of Cairo,Central Bank of Dubai,",322,person,"Clark Webster,Abdul Ramazi,Faysal Goba,",location,"Virginia,Charlottesville,US,Afghanistan,United Arab Emirates,"
783,location,3,person,"Clark Webster,Abdul Ramazi,Faysal Goba,",location,"Virginia,Charlottesville,US,Afghanistan,United Arab Emirates,",5,document,"cia6,cia4,cia11,",location,"US,Afghanistan,"
783,location,3,document,"cia6,cia4,cia11,",location,"US,Afghanistan,",286,person,"Bagwant Dhaliwal,Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,Sahim Albakri,Muhammed bin Harazi,",location,"US,Afghanistan,"
750,document,4,document,"se3,fbi20,fbi19,fbi15,fbi11,",location,"Virginia,Charlottesville,",9,document,"se3,fbi20,fbi17,cia4,",location,"Richmond,Virginia,"
750,document,4,document,"se3,fbi20,fbi17,cia4,",location,"Richmond,Virginia,",27,document,"fbi17,fbi11,",organization,"Sprint,FBI,"
750,document,4,document,"fbi17,fbi11,",organization,"Sprint,FBI,",33,document,"fbi24,fbi20,",organization,"FBI,Budget Storage Units,"
788,location,4,document,"fbi24,fbi20,",organization,"FBI,Budget Storage Units,",247,location,"Virginia,Springfield,",organization,"FBI,Passport Agency,First Union Bank,Virginia National Bank,Select Gourmet Foods,First Union National Bank,Pyramid Bank of Cairo,Central Bank of Dubai,"
788,location,4,location,"Virginia,Springfield,",organization,"FBI,Passport Agency,First Union Bank,Virginia National Bank,Select Gourmet Foods,First Union National Bank,Pyramid Bank of Cairo,Central Bank of Dubai,",201,location,"Virginia,Springfield,",money,"$13,000,$35,000,"
788,location,4,location,"Virginia,Springfield,",money,"$13,000,$35,000,",322,person,"Clark Webster,Abdul Ramazi,Faysal Goba,",location,"Virginia,Charlottesville,US,Afghanistan,United Arab Emirates,"
788,location,4,person,"Clark Webster,Abdul Ramazi,Faysal Goba,",location,"Virginia,Charlottesville,US,Afghanistan,United Arab Emirates,",321,person,"Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,United Arab Emirates,"
748,document,5,document,"cia6,cia4,cia11,",location,"US,Afghanistan,",34,document,"cia6,cia11,",organization,"CIA,Taliban,"
787,location,5,document,"cia6,cia11,",organization,"CIA,Taliban,",287,person,"Bagwant Dhaliwal,Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,"
787,location,5,person,"Bagwant Dhaliwal,Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,",3,document,"fbi2,cia4,",location,"Virginia,US,"
746,document,6,document,"se3,fbi2,",location,"Virginia,Amsterdam,",9,document,"se3,fbi20,fbi17,cia4,",location,"Richmond,Virginia,"
746,document,6,document,"se3,fbi20,fbi17,cia4,",location,"Richmond,Virginia,",7,document,"fbi21,fbi2,",location,"Amsterdam,US,"
785,location,6,document,"fbi21,fbi2,",location,"Amsterdam,US,",247,location,"Virginia,Springfield,",organization,"FBI,Passport Agency,First Union Bank,Virginia National Bank,Select Gourmet Foods,First Union National Bank,Pyramid Bank of Cairo,Central Bank of Dubai,"
785,location,6,location,"Virginia,Springfield,",organization,"FBI,Passport Agency,First Union Bank,Virginia National Bank,Select Gourmet Foods,First Union National Bank,Pyramid Bank of Cairo,Central Bank of Dubai,",321,person,"Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,United Arab Emirates,"
785,location,6,person,"Clark Webster,Abdul Ramazi,Faysal Goba,Ziad al Shibh,",location,"Virginia,US,Afghanistan,United Arab Emirates,",332,person,"Abdul Ramazi,Tawfiq al Adel,",location,"Amsterdam,Germany,Hamburg,"
745,document,7,document,"fbi21,fbi2,",location,"Amsterdam,US,",6,document,"se3,fbi2,",location,"Virginia,Amsterdam,"
