BiCluster Id, Row Type, Array of Rows, Column Type, Array of Columns
182,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",document,"FBI_41,FBI_40,"
183,document,"FBI_20,FBI_18,FBI_31,",organization,"FBI,Detroit Utilities Co.,"
184,document,"FBI_25,FBI_19,FBI_09,",organization,"FBI,God's Aryan Militia,"
185,document,"FBI_23,FBI_18,CIA_33,",organization,"FBI,DIA,"
186,document,"FBI_20,FBI_36,FBI_31,",person,"Abdul al Nami,al Nami,"
187,document,"CIA_17,CIA_36,CIA_31,",person,"Bugarov,Boris Bugarov,"
188,document,"CIA_07,FBI_04,FBI_01,",person,"Abu Hafs,Mehdi Rafiki,"
189,document,"FBI_25,FBI_09,FBI_32,",person,"Khalid Shamrani,Shamrani,"
190,document,"CIA_26,CIA_10,CIA_43,CIA_42,",person,"Omar Hanif,Hanif,"
191,document,"FBI_28,FBI_27,FBI_11,FBI_35,",person,"Adnan Hijazi,Hijazi,"
192,document,"FBI_36,FBI_34,FBI_31,",person,"Abdul al Nami,Satam Derwish,Derwish,Ronald,Satam,"
193,document,"CIA_16,FBI_36,FBI_34,FBI_31,",person,"Satam Derwish,Derwish,Ronald,"
194,document,"CIA_23,FBI_19,CIA_30,",place,"Buenos Aires,Argentina,"
195,document,"FBI_19,CIA_04,NSA_12,",place,"Calamar,Columbia,"
196,document,"FBI_37,USCBP_01,NSA_17,",place,"Mexico,Piedras Negras,"
197,document,"CIA_06,DIA_02,CIA_33,",place,"Afghanistan,Khost,"
198,document,"FBI_11,FBI_08,FBI_35,",place,"USA,Laurel,"
199,document,"FBI_13,FBI_12,FBI_10,",place,"USA,Missouri,"
200,document,"CIA_13,FBI_03,DIA_03,",place,"USA,California,"
201,document,"FBI_20,CIA_18,CIA_40,",place,"Saudi Arabia,Riyadh,"
202,document,"FBI_11,DIA_03,FBI_41,FBI_35,",place,"USA,Maryland,"
203,document,"CIA_28,FBI_08,FBI_35,FBI_30,",place,"USA,Virginia,"
204,document,"NSA_07,CIA_14,CIA_09,",place,"Panama City,Panama,993 Panamico Ave.,"
205,document,"FBI_23,FBI_18,FBI_31,",place,"Detroit,Michigan,562 Fenkell Ave.,"
206,document,"FBI_19,FBI_37,NSA_13,",place,"Mexico,Columbia,Chetumal,"
207,document,"FBI_09,FBI_33,FBI_32,",place,"USA,Texas,Bellaire,"
208,document,"CIA_26,NSA_07,CIA_37,",place,"Pakistan,631 Nishtar Rd.,Karachi,"
209,document,"FBI_20,DIA_01,FBI_32,",place,"USA,Saudi Arabia,"
210,document,"NSA_03,FBI_19,NSA_13,NSA_12,",place,"Ojinaga,Mexico,"
211,document,"FBI_19,NSA_13,NSA_12,",place,"Ojinaga,Mexico,Columbia,"
