Link Id, Link Type, Source Id, Source Row Type, Source Rows, Source Column Type, Source Columns, Destination Id, Destination Row Type, Destination Rows, Destination Column Type, Destination Columns
196,date,15420,date,"1999,1996,",document,"FBI_20,CIA_10,",16174,place,"USA,London,UK,Texas,2211 Cermak Rd.,Chicago,Illinois,O'Hare Airport,Sears Tower,",date,"1999,16 May, 2003,July 18, 1999,28 September, 2003,"
546,document,15420,place,"USA,London,UK,Texas,2211 Cermak Rd.,Chicago,Illinois,O'Hare Airport,Sears Tower,",date,"1999,16 May, 2003,July 18, 1999,28 September, 2003,",15423,date,"1997,1999,",document,"FBI_20,DIA_01,"
195,date,15421,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",document,"FBI_41,FBI_40,",16073,place,"USA,New York,Florida,Miami,Bahamas,Nassau,Freeport,Maryland,Baltimore,New York City,NYC,",date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,"
195,date,15421,place,"USA,New York,Florida,Miami,Bahamas,Nassau,Freeport,Maryland,Baltimore,New York City,NYC,",date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",16192,place,"USA,New York,Bahamas,Nassau,Freeport,Maryland,",date,"1999,13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,14 November, 2004,12 December, 2004,18 December, 2004,21 September, 2004,7 November, 2004,17 December, 2004,"
544,document,15421,place,"USA,New York,Bahamas,Nassau,Freeport,Maryland,",date,"1999,13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,14 November, 2004,12 December, 2004,18 December, 2004,21 September, 2004,7 November, 2004,17 December, 2004,",15535,document,"CIA_26,FBI_21,FBI_02,FBI_40,",place,"USA,Florida,Bahamas,Nassau,"
199,date,15422,date,"2 April, 2003,1 April, 2003,",document,"CIA_07,FBI_01,",16022,place,"USA,New York,Afghanistan,Chicago,Illinois,",date,"1999,2 April, 2003,1 April, 2003,"
558,document,15422,place,"USA,New York,Afghanistan,Chicago,Illinois,",date,"1999,2 April, 2003,1 April, 2003,",15569,document,"NSA_02,CIA_07,",place,"USA,Canada,Montreal,Chicago,Illinois,"
1111,organization,15424,document,"FBI_23,FBI_18,CIA_33,",organization,"FBI,DIA,",15926,organization,"FBI,American Islamic Scholarship Fund,",person,"Adnan Hijazi,Hijazi,Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,HIjazi,"
1111,organization,15424,organization,"FBI,American Islamic Scholarship Fund,",person,"Adnan Hijazi,Hijazi,Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,HIjazi,",15920,organization,"FBI,USCIS,",person,"Khalid Shamrani,Shamrani,Jamal al Quso,Murad,Abdul Murad,Khalid S.,Quso,Jamal,"
557,document,15425,document,"FBI_25,FBI_19,FBI_09,",organization,"FBI,God's Aryan Militia,",15619,document,"FBI_19,CIA_04,NSA_12,",place,"Calamar,Columbia,"
1112,organization,15425,document,"FBI_19,CIA_04,NSA_12,",place,"Calamar,Columbia,",15926,organization,"FBI,American Islamic Scholarship Fund,",person,"Adnan Hijazi,Hijazi,Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,HIjazi,"
1112,organization,15425,organization,"FBI,American Islamic Scholarship Fund,",person,"Adnan Hijazi,Hijazi,Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,HIjazi,",15920,organization,"FBI,USCIS,",person,"Khalid Shamrani,Shamrani,Jamal al Quso,Murad,Abdul Murad,Khalid S.,Quso,Jamal,"
1109,organization,15426,document,"FBI_20,FBI_18,FBI_31,",organization,"FBI,Detroit Utilities Co.,",15926,organization,"FBI,American Islamic Scholarship Fund,",person,"Adnan Hijazi,Hijazi,Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,HIjazi,"
