BiCluster Id, Row Type, Array of Rows, Column Type, Array of Columns, Importance, Doc Id
15420,date,"1999,1996,",document,"FBI_20,CIA_10,",0.15816975612696370000,NA
15421,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",document,"FBI_41,FBI_40,",0.00030068482646442273,NA
15422,date,"2 April, 2003,1 April, 2003,",document,"CIA_07,FBI_01,",0.00055803988433360910,NA
15423,date,"1997,1999,",document,"FBI_20,DIA_01,",0.00182129164699485970,NA
15424,document,"FBI_23,FBI_18,CIA_33,",organization,"DIA,",0.04032159703845210000,NA
15425,document,"FBI_25,FBI_19,FBI_09,",organization,"God's Aryan Militia,",0.03320709050877255000,NA
15426,document,"FBI_20,FBI_18,FBI_31,",organization,"Detroit Utilities Co.,",0.00013321190707013628,NA
15427,document,"FBI_18,FBI_36,",organization,"DIA,Detroit Utilities Co.,",0.00289957189985728100,NA
15428,document,"FBI_28,FBI_26,",organization,"USCBP,",0.02112669080063506500,NA
15429,document,"CIA_10,CIA_32,",organization,"MI 5,Freeport Star Hotel,",0.00264612285342699600,NA
15430,document,"FBI_09,FBI_32,",organization,"God's Aryan Militia,TexEast Petroleum Co.,",0.00000508908221196732,NA
15431,document,"CIA_08,CIA_06,",organization,"Al Qaeda,Farooq training camp,",0.00085433757694506380,NA
15432,document,"CIA_16,FBI_34,",organization,"NSA,RCMP,Canada Eastern Airlines,",0.01498877289860998400,NA
15433,document,"CIA_22,CIA_21,",organization,"Moroccan Sands Hotel,Sahara Atlantic Hotel,",0.00000000000000000000,NA
15434,document,"FBI_23,FBI_05,",organization,"BailOut,Carolina First Bank,",0.00001946403756756211,NA
15435,document,"NSA_06,CIA_42,",person,"Omar Hanif,Muslih Odeh,",0.02082473886204803000,NA
15436,document,"CIA_26,CIA_10,CIA_43,CIA_42,",person,"Omar Hanif,Hanif,",0.02982113414279594400,NA
15437,document,"FBI_28,FBI_27,FBI_11,FBI_35,",person,"Adnan Hijazi,Hijazi,",0.01489585433983586000,NA
15438,document,"CIA_41,CIA_34,",person,"Pyotr Safrygin,Safrygin,",0.00100565517967481090,NA
15439,document,"CIA_16,FBI_36,FBI_34,FBI_31,",person,"Satam Derwish,Derwish,Ronald,",0.00109587856063589620,NA
15440,document,"FBI_36,FBI_34,FBI_31,",person,"Abdul al Nami,Satam Derwish,Derwish,Ronald,Satam,",0.00222570739524479560,NA
15441,document,"FBI_20,FBI_36,FBI_31,",person,"Abdul al Nami,al Nami,",0.00109101765217637680,NA
15442,document,"FBI_36,FBI_31,",person,"Abdul al Nami,al Nami,Satam Derwish,Derwish,Ronald,Satam,",0.00114929475602636770,NA
15443,document,"CIA_07,FBI_04,FBI_01,",person,"Abu Hafs,Mehdi Rafiki,",0.00028930487171525027,NA
15444,document,"FBI_23,FBI_31,",person,"Rifai Qasim,Abdul al Nami,",0.00000532675707340016,NA
15445,document,"CIA_17,CIA_36,CIA_31,",person,"Bugarov,Boris Bugarov,",0.00840572056010905500,NA
15446,document,"CIA_30,NSA_16,",person,"Jose Escalante,Carlos Morales,Arze,",0.00010619709042905664,NA
15447,document,"FBI_25,FBI_09,FBI_32,",person,"Khalid Shamrani,Shamrani,",0.01384746497575997800,NA
15448,document,"FBI_11,FBI_35,",person,"Adnan Hijazi,Hijazi,Mounir Mzoudi,",0.02822953080292819200,NA
15449,document,"CIA_11,CIA_06,",person,"Yasir Salman,Badawi,",0.00248997365081697200,NA
15450,document,"FBI_25,FBI_19,",person,"Billy Jack Hawkins,Slade Goodman,",0.00242886179424310750,NA
15451,document,"FBI_11,FBI_08,",person,"J. T.,A. H.,M. M.,",0.00115764779451816820,NA
15452,document,"CIA_07,FBI_01,",person,"Abdillah Zinedine,Abu Hafs,Mehdi Rafiki,Zinedine,",0.00045421553898832874,NA
15453,document,"FBI_23,FBI_05,",person,"Rifai Qasim,Omar Blakely,Muhammed Mustafa,Blakely,",0.00000000000000000000,NA
15454,document,"FBI_28,CIA_14,",person,"Ramundo Ortiz,Ortiz,",0.00004568681526508661,NA
15455,document,"FBI_19,FBI_13,",person,"Saeed al Nami,Riyad al Taifi,",0.00250965313168267200,NA
15456,document,"CIA_04,CIA_30,",person,"Jose Escalante,Escalante,",0.00076363915628211050,NA
15457,document,"FBI_03,DIA_03,",person,"Abu Somad,Yazid Bafaba,",0.00088534825136399630,NA
15458,document,"CIA_03,CIA_30,",person,"Arze,Cesar Arze,",0.00103285726753115230,NA
15459,document,"FBI_17,FBI_40,",person,"Muhammed Dandani,Dandani,",0.00017202049130136138,NA
15460,document,"CIA_27,CIA_38,",person,"Sufaat,Ali Sufaat,",0.00000000000000000000,NA
15461,document,"DIA_03,FBI_36,",person,"Abdul al Nami,Khaled Jehani,",0.00173321572626478900,NA
15462,document,"FBI_14,FBI_10,",person,"Wali Shakur,Ahmed Doha,Abu Ayyash,Doha,Ayyash,",0.00000000000000000000,NA
15463,document,"CIA_42,CIA_32,",person,"Muslih Odeh,Odeh,",0.00003758330539397885,NA
15464,document,"FBI_41,FBI_35,",person,"Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,",0.00204926195606157420,NA
15465,document,"CIA_13,FBI_03,",person,"Riduan Sungkar,Omar Evertts,",0.00000000000000000000,NA
15466,document,"FBI_40,FBI_35,",person,"Muhammed Dandani,Said Khadr,",0.00072982421216044480,NA
15467,document,"FBI_26,CIA_33,",person,"Abdul Nasser,Ali al-Omari,",0.00000000000000000000,NA
15468,document,"CIA_12,CIA_39,",person,"Abdellah Atmani,Atmani,",0.00436767281480027900,NA
15469,document,"CIA_26,FBI_14,",place,"Pakistan,",0.22806487136322126000,NA
15470,document,"FBI_19,FBI_38,FBI_37,CIA_36,",place,"Cuba,",0.01866894763802584600,NA
15471,document,"NSA_10,NSA_02,CIA_16,FBI_08,FBI_07,CIA_07,FBI_02,CIA_02,FBI_01,DIA_03,FBI_36,FBI_34,",place,"Canada,",0.03135488817792653000,NA
15472,document,"FBI_22,FBI_21,CIA_12,CIA_10,FBI_07,CIA_07,DIA_03,DIA_01,",place,"Afghanistan,",0.02443846569027143700,NA
15473,document,"CIA_08,DIA_02,",place,"Pakistan,Afghanistan,",0.07002798584171288000,NA
15474,document,"FBI_07,CIA_07,DIA_03,",place,"Canada,Afghanistan,",0.02028477575958021300,NA
15475,document,"FBI_19,FBI_13,FBI_10,FBI_38,FBI_37,",place,"Columbia,",0.29503518072875290000,NA
15476,document,"FBI_19,CIA_04,CIA_03,FBI_38,FBI_37,NSA_16,",place,"Cuba,Columbia,",0.10067389094009398000,NA
15477,document,"CIA_27,NSA_20,",place,"Cuba,Bahamas,",0.01649752081283212600,NA
15478,document,"FBI_26,FBI_25,FBI_19,FBI_13,FBI_09,FBI_06,FBI_04,FBI_38,FBI_37,USCBP_01,FBI_33,FBI_32,",place,"Texas,",0.02221017815473877800,NA
15479,document,"FBI_23,FBI_22,FBI_20,FBI_18,CIA_16,FBI_11,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Detroit,Michigan,",0.02788616140520231600,NA
15480,document,"FBI_23,FBI_22,FBI_20,FBI_18,CIA_16,FBI_11,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,",place,"Detroit,Michigan,",0.03647033446685657000,NA
15481,document,"CIA_16,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Canada,Detroit,Michigan,",0.01512771447420869500,NA
15482,document,"CIA_16,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,",place,"Canada,Detroit,Michigan,",0.03069361671017041200,NA
15483,document,"FBI_22,DIA_03,",place,"Detroit,Michigan,Afghanistan,",0.09927353827125154000,NA
15484,document,"FBI_19,FBI_13,NSA_21,FBI_38,FBI_37,NSA_19,NSA_17,NSA_13,NSA_12,",place,"Mexico,Columbia,",0.00002810451534547954,NA
15485,document,"FBI_19,FBI_13,FBI_38,FBI_37,USCBP_01,",place,"Texas,Mexico,",0.00574411893159821300,NA
15486,document,"FBI_19,FBI_13,FBI_38,FBI_37,",place,"Texas,Mexico,Columbia,",0.00503293376330359000,NA
15487,document,"CIA_26,CIA_24,FBI_21,NSA_06,CIA_10,FBI_02,CIA_43,CIA_42,FBI_41,FBI_40,NSA_20,CIA_38,",place,"Bahamas,Nassau,",0.02854498434270095700,NA
15488,document,"CIA_26,FBI_21,CIA_10,FBI_02,FBI_41,FBI_40,",place,"Bahamas,Nassau,",0.14261290934090170000,NA
15489,document,"CIA_26,NSA_06,NSA_20,",place,"Pakistan,Bahamas,Nassau,",0.14769272032397135000,NA
15490,document,"CIA_25,CIA_21,CIA_17,CIA_14,CIA_04,CIA_03,NSA_22,NSA_20,CIA_36,CIA_30,NSA_18,NSA_16,",place,"Cuba,Havana,",0.00194340345538943900,NA
15491,document,"CIA_14,NSA_20,NSA_18,",place,"Pakistan,Cuba,Havana,",0.00437034871141916100,NA
15492,document,"CIA_04,CIA_03,NSA_16,",place,"Cuba,Havana,Columbia,",0.00060981703090597010,NA
15493,document,"CIA_28,CIA_12,FBI_36,FBI_34,",place,"Morocco,",0.00475155368790737500,NA
15494,document,"FBI_28,CIA_22,NSA_08,CIA_15,CIA_08,NSA_20,NSA_18,",place,"Peshawar,Pakistan,",0.00111622770865740340,NA
15495,document,"CIA_19,CIA_08,",place,"Peshawar,Afghanistan,",0.00202758342526912300,NA
15496,document,"FBI_27,CIA_16,FBI_14,FBI_11,FBI_10,FBI_03,FBI_02,USCBP_02,FBI_35,",place,"New Jersey,",0.07939932778682210000,NA
15497,document,"CIA_16,FBI_02,",place,"Canada,New Jersey,",0.01398042374928098800,NA
15498,document,"CIA_26,FBI_22,FBI_21,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"UK,",0.00028542866710143780,NA
15499,document,"FBI_22,FBI_21,CIA_10,",place,"UK,Afghanistan,",0.00080755209177655820,NA
15500,document,"CIA_26,FBI_21,CIA_10,FBI_02,",place,"Bahamas,Nassau,UK,",0.00061304912425576070,NA
15501,document,"FBI_21,CIA_10,",place,"Bahamas,Nassau,UK,Afghanistan,",0.00417102045692915300,NA
15502,document,"NSA_02,CIA_16,CIA_13,FBI_12,CIA_10,FBI_09,CIA_07,FBI_06,FBI_04,",place,"Chicago,Illinois,",0.27403941494115810000,NA
15503,document,"NSA_02,CIA_16,CIA_07,",place,"Canada,Chicago,Illinois,",0.08020007607261515000,NA
15504,document,"CIA_10,CIA_07,",place,"Afghanistan,Chicago,Illinois,",0.14039581276543425000,NA
15505,document,"FBI_09,FBI_06,FBI_04,",place,"Texas,Chicago,Illinois,",0.03945440885724742000,NA
15506,document,"DIA_01,CIA_36,",place,"Russia,",0.00401972847278328000,NA
15507,document,"CIA_22,NSA_08,NSA_05,",place,"Casablanca,Pakistan,",0.00057540504536983720,NA
15508,document,"CIA_21,NSA_22,",place,"Casablanca,Cuba,Havana,",0.00705693632612207800,NA
15509,document,"CIA_28,NSA_09,NSA_08,NSA_05,CIA_12,NSA_22,CIA_39,",place,"Morocco,Casablanca,",0.00315377605131088050,NA
15510,document,"CIA_28,CIA_12,",place,"Morocco,Casablanca,",0.00073037056569357540,NA
15511,document,"CIA_22,NSA_08,",place,"Casablanca,Peshawar,Pakistan,",0.00026136209121550245,NA
15512,document,"CIA_28,NSA_09,CIA_39,",place,"Santo Domingo,Morocco,Casablanca,",0.00808493504364510500,NA
15513,document,"NSA_05,CIA_17,CIA_05,CIA_01,NSA_22,CIA_36,CIA_34,CIA_31,",place,"Moscow,Russia,",0.00008712541303845628,NA
15514,document,"CIA_17,NSA_22,CIA_36,CIA_31,",place,"Cuba,Moscow,Russia,",0.00196907322303934260,NA
15515,document,"CIA_17,NSA_22,CIA_36,",place,"Cuba,Havana,Moscow,Russia,",0.00096403323260962430,NA
15516,document,"NSA_05,NSA_22,",place,"Morocco,Casablanca,Moscow,Russia,",0.00146478751292311240,NA
15517,document,"CIA_20,NSA_08,NSA_05,CIA_15,DIA_02,NSA_20,CIA_37,NSA_18,NSA_14,",place,"Pakistan,Chitral,",0.00565830804985352300,NA
15518,document,"NSA_08,CIA_15,NSA_20,NSA_18,",place,"Peshawar,Pakistan,Chitral,",0.00706325979729782900,NA
